['1562938_at' '-4.94313261968386' '3.137550639404657e-06']
['1557813_at' '-4.914355470988948' '3.5311431836086533e-06']
['1562603_at' '4.813257520276742' '5.33253474683252e-06']
['203784_s_at' '4.714876540126059' '7.928084753656097e-06']
['222686_s_at' '4.687745470236496' '8.837243413418e-06']
['1570329_at' '-4.66063117960551' '9.846527443850448e-06']
['1569864_at' '-4.650716420130514' '1.0242797930664786e-05']
['1555379_at' '-4.625928628475372' '1.1302339911907577e-05']
['234664_at' '4.61643550115502' '1.1735621586047938e-05']
['201140_s_at' '4.595439009987711' '1.2751850096688737e-05']
