['1562938_at' '-4.94313261968' '3.1375506394e-06']
['1557813_at' '-4.91435547099' '3.53114318361e-06']
['1562603_at' '4.81325752028' '5.33253474683e-06']
['203784_s_at' '4.71487654013' '7.92808475366e-06']
['222686_s_at' '4.68774547024' '8.83724341342e-06']
['1570329_at' '-4.66063117961' '9.84652744385e-06']
['1569864_at' '-4.65071642013' '1.02427979307e-05']
['1555379_at' '-4.62592862848' '1.13023399119e-05']
['234664_at' '4.61643550116' '1.1735621586e-05']
['201140_s_at' '4.59543900999' '1.27518500967e-05']
